support_priority_rank,support_priority_group,operational_band,resident_id,resident_code,as_of_date,reintegration_readiness_score,readiness_percentile_among_current_residents,decision_threshold,readiness_band,predicted_positive_at_threshold,raw_score_note,interpretation_note,top_positive_factors,top_risk_factors,note
1,Top Priority,Needs Immediate Review,6,LS-0006,2027-01-18T00:00:00,0.0,13.043478260869565,0.13,High Risk / Needs Intensive Support,False,"Raw probability is often small in absolute terms; use rank, percentile, and operational band for prioritization in this rare-event setting — not as a literal certainty. Cohort scores show strong compression near zero; relative ordering matters more than the number on the scale.","Raw scores are best interpreted as relative near-term readiness under a rare-event setting. For active residents, priority rank and percentile are more operationally useful than the absolute probability alone.","[""edu progress trend: below typical for similar residents and associated with stronger readiness"", ""edu mean progress: below typical for similar residents and associated with stronger readiness"", ""age at admission years: above typical for similar residents and associated with stronger readiness"", ""edu mean attendance: below typical for similar residents and associated with stronger readiness"", ""pr emotional improvement trend: above typical for similar residents and associated with stronger readiness""]","[""hv total visits: below typical for similar residents and associated with weaker readiness"", ""pr concern rate: below typical for similar residents and associated with weaker readiness"", ""days since enrollment: above typical for similar residents and associated with weaker readiness"", ""pr sessions total: below typical for similar residents and associated with weaker readiness"", ""pr sessions last 30d: below typical for similar residents and associated with weaker readiness""]",Directions follow the explanatory logistic model (associations on training data); the score is from the predictive model. Decision support only.
2,Top Priority,Needs Immediate Review,32,LS-0032,2027-01-09T00:00:00,0.0,13.043478260869565,0.13,High Risk / Needs Intensive Support,False,"Raw probability is often small in absolute terms; use rank, percentile, and operational band for prioritization in this rare-event setting — not as a literal certainty. Cohort scores show strong compression near zero; relative ordering matters more than the number on the scale.","Raw scores are best interpreted as relative near-term readiness under a rare-event setting. For active residents, priority rank and percentile are more operationally useful than the absolute probability alone.","[""edu progress trend: below typical for similar residents and associated with stronger readiness"", ""pr concern rate: above typical for similar residents and associated with stronger readiness"", ""inc mean severity: above typical for similar residents and associated with stronger readiness"", ""edu mean progress: below typical for similar residents and associated with stronger readiness"", ""pr mean duration: above typical for similar residents and associated with stronger readiness""]","[""hv total visits: below typical for similar residents and associated with weaker readiness"", ""days since enrollment: above typical for similar residents and associated with weaker readiness"", ""pr sessions total: below typical for similar residents and associated with weaker readiness"", ""pr sessions last 30d: below typical for similar residents and associated with weaker readiness"", ""case category: Foundling \u2014 compared with typical reference cases, associated with weaker readiness""]",Directions follow the explanatory logistic model (associations on training data); the score is from the predictive model. Decision support only.
3,Top Priority,Needs Immediate Review,38,LS-0038,2027-01-05T00:00:00,0.0,13.043478260869565,0.13,High Risk / Needs Intensive Support,False,"Raw probability is often small in absolute terms; use rank, percentile, and operational band for prioritization in this rare-event setting — not as a literal certainty. Cohort scores show strong compression near zero; relative ordering matters more than the number on the scale.","Raw scores are best interpreted as relative near-term readiness under a rare-event setting. For active residents, priority rank and percentile are more operationally useful than the absolute probability alone.","[""edu progress trend: below typical for similar residents and associated with stronger readiness"", ""edu mean progress: below typical for similar residents and associated with stronger readiness"", ""pr mean duration: above typical for similar residents and associated with stronger readiness"", ""edu mean attendance: below typical for similar residents and associated with stronger readiness"", ""pr mean gap days: above typical for similar residents and associated with stronger readiness""]","[""hv total visits: below typical for similar residents and associated with weaker readiness"", ""pr concern rate: below typical for similar residents and associated with weaker readiness"", ""days since enrollment: above typical for similar residents and associated with weaker readiness"", ""case category: Neglected \u2014 compared with typical reference cases, associated with weaker readiness"", ""pr sessions total: below typical for similar residents and associated with weaker readiness""]",Directions follow the explanatory logistic model (associations on training data); the score is from the predictive model. Decision support only.
4,Top Priority,Needs Immediate Review,41,LS-0041,2027-01-27T00:00:00,0.0,13.043478260869565,0.13,High Risk / Needs Intensive Support,False,"Raw probability is often small in absolute terms; use rank, percentile, and operational band for prioritization in this rare-event setting — not as a literal certainty. Cohort scores show strong compression near zero; relative ordering matters more than the number on the scale.","Raw scores are best interpreted as relative near-term readiness under a rare-event setting. For active residents, priority rank and percentile are more operationally useful than the absolute probability alone.","[""edu progress trend: below typical for similar residents and associated with stronger readiness"", ""case category: Surrendered \u2014 compared with typical reference cases, associated with stronger readiness"", ""edu mean progress: below typical for similar residents and associated with stronger readiness"", ""edu mean attendance: below typical for similar residents and associated with stronger readiness"", ""pr progress rate: above typical for similar residents and associated with stronger readiness""]","[""hv total visits: below typical for similar residents and associated with weaker readiness"", ""days since enrollment: above typical for similar residents and associated with weaker readiness"", ""pr concern rate: below typical for similar residents and associated with weaker readiness"", ""pr sessions total: below typical for similar residents and associated with weaker readiness"", ""pr mean duration: below typical for similar residents and associated with weaker readiness""]",Directions follow the explanatory logistic model (associations on training data); the score is from the predictive model. Decision support only.
5,Top Priority,Needs Immediate Review,42,LS-0042,2027-01-07T00:00:00,0.0,13.043478260869565,0.13,High Risk / Needs Intensive Support,False,"Raw probability is often small in absolute terms; use rank, percentile, and operational band for prioritization in this rare-event setting — not as a literal certainty. Cohort scores show strong compression near zero; relative ordering matters more than the number on the scale.","Raw scores are best interpreted as relative near-term readiness under a rare-event setting. For active residents, priority rank and percentile are more operationally useful than the absolute probability alone.","[""edu progress trend: below typical for similar residents and associated with stronger readiness"", ""case category: Abandoned \u2014 compared with typical reference cases, associated with stronger readiness"", ""edu mean progress: below typical for similar residents and associated with stronger readiness"", ""age at admission years: above typical for similar residents and associated with stronger readiness"", ""edu mean attendance: below typical for similar residents and associated with stronger readiness""]","[""hv total visits: below typical for similar residents and associated with weaker readiness"", ""pr concern rate: below typical for similar residents and associated with weaker readiness"", ""days since enrollment: above typical for similar residents and associated with weaker readiness"", ""pr mean duration: below typical for similar residents and associated with weaker readiness"", ""pr sessions total: below typical for similar residents and associated with weaker readiness""]",Directions follow the explanatory logistic model (associations on training data); the score is from the predictive model. Decision support only.
6,High Priority,Needs Close Follow-up,55,LS-0055,2027-01-28T00:00:00,0.0,13.043478260869565,0.13,High Risk / Needs Intensive Support,False,"Raw probability is often small in absolute terms; use rank, percentile, and operational band for prioritization in this rare-event setting — not as a literal certainty. Cohort scores show strong compression near zero; relative ordering matters more than the number on the scale.","Raw scores are best interpreted as relative near-term readiness under a rare-event setting. For active residents, priority rank and percentile are more operationally useful than the absolute probability alone.","[""pr concern rate: above typical for similar residents and associated with stronger readiness"", ""edu progress trend: below typical for similar residents and associated with stronger readiness"", ""case category: Abandoned \u2014 compared with typical reference cases, associated with stronger readiness"", ""edu mean progress: below typical for similar residents and associated with stronger readiness"", ""edu mean attendance: below typical for similar residents and associated with stronger readiness""]","[""hv total visits: below typical for similar residents and associated with weaker readiness"", ""days since enrollment: above typical for similar residents and associated with weaker readiness"", ""pr mean duration: below typical for similar residents and associated with weaker readiness"", ""pr sessions total: below typical for similar residents and associated with weaker readiness"", ""pr sessions last 30d: below typical for similar residents and associated with weaker readiness""]",Directions follow the explanatory logistic model (associations on training data); the score is from the predictive model. Decision support only.
7,High Priority,Needs Close Follow-up,50,LS-0050,2027-01-25T00:00:00,0.0021,28.26086956521739,0.13,High Risk / Needs Intensive Support,False,"Raw probability is often small in absolute terms; use rank, percentile, and operational band for prioritization in this rare-event setting — not as a literal certainty. Cohort scores show strong compression near zero; relative ordering matters more than the number on the scale.","Raw scores are best interpreted as relative near-term readiness under a rare-event setting. For active residents, priority rank and percentile are more operationally useful than the absolute probability alone.","[""edu progress trend: below typical for similar residents and associated with stronger readiness"", ""edu mean progress: below typical for similar residents and associated with stronger readiness"", ""pr mean duration: above typical for similar residents and associated with stronger readiness"", ""pr emotional improvement trend: above typical for similar residents and associated with stronger readiness"", ""edu mean attendance: below typical for similar residents and associated with stronger readiness""]","[""hv total visits: below typical for similar residents and associated with weaker readiness"", ""days since enrollment: above typical for similar residents and associated with weaker readiness"", ""pr concern rate: below typical for similar residents and associated with weaker readiness"", ""case category: Neglected \u2014 compared with typical reference cases, associated with weaker readiness"", ""pr sessions total: below typical for similar residents and associated with weaker readiness""]",Directions follow the explanatory logistic model (associations on training data); the score is from the predictive model. Decision support only.
8,High Priority,Needs Close Follow-up,24,LS-0024,2027-01-16T00:00:00,0.0028,32.608695652173914,0.13,High Risk / Needs Intensive Support,False,"Raw probability is often small in absolute terms; use rank, percentile, and operational band for prioritization in this rare-event setting — not as a literal certainty. Cohort scores show strong compression near zero; relative ordering matters more than the number on the scale.","Raw scores are best interpreted as relative near-term readiness under a rare-event setting. For active residents, priority rank and percentile are more operationally useful than the absolute probability alone.","[""edu progress trend: below typical for similar residents and associated with stronger readiness"", ""edu mean progress: below typical for similar residents and associated with stronger readiness"", ""edu mean attendance: below typical for similar residents and associated with stronger readiness"", ""pr emotional improvement trend: above typical for similar residents and associated with stronger readiness"", ""hv family cooperation rate: below typical for similar residents and associated with stronger readiness""]","[""hv total visits: below typical for similar residents and associated with weaker readiness"", ""pr concern rate: below typical for similar residents and associated with weaker readiness"", ""days since enrollment: above typical for similar residents and associated with weaker readiness"", ""pr sessions total: below typical for similar residents and associated with weaker readiness"", ""pr sessions last 30d: below typical for similar residents and associated with weaker readiness""]",Directions follow the explanatory logistic model (associations on training data); the score is from the predictive model. Decision support only.
9,High Priority,Needs Close Follow-up,16,LS-0016,2027-01-20T00:00:00,0.0029,39.130434782608695,0.13,High Risk / Needs Intensive Support,False,"Raw probability is often small in absolute terms; use rank, percentile, and operational band for prioritization in this rare-event setting — not as a literal certainty. Cohort scores show strong compression near zero; relative ordering matters more than the number on the scale.","Raw scores are best interpreted as relative near-term readiness under a rare-event setting. For active residents, priority rank and percentile are more operationally useful than the absolute probability alone.","[""edu progress trend: below typical for similar residents and associated with stronger readiness"", ""case category: Surrendered \u2014 compared with typical reference cases, associated with stronger readiness"", ""pr mean duration: above typical for similar residents and associated with stronger readiness"", ""edu mean progress: below typical for similar residents and associated with stronger readiness"", ""edu mean attendance: below typical for similar residents and associated with stronger readiness""]","[""hv total visits: below typical for similar residents and associated with weaker readiness"", ""pr concern rate: below typical for similar residents and associated with weaker readiness"", ""days since enrollment: above typical for similar residents and associated with weaker readiness"", ""pr sessions total: below typical for similar residents and associated with weaker readiness"", ""pr sessions last 30d: below typical for similar residents and associated with weaker readiness""]",Directions follow the explanatory logistic model (associations on training data); the score is from the predictive model. Decision support only.
10,High Priority,Needs Close Follow-up,48,LS-0048,2027-01-17T00:00:00,0.0029,39.130434782608695,0.13,High Risk / Needs Intensive Support,False,"Raw probability is often small in absolute terms; use rank, percentile, and operational band for prioritization in this rare-event setting — not as a literal certainty. Cohort scores show strong compression near zero; relative ordering matters more than the number on the scale.","Raw scores are best interpreted as relative near-term readiness under a rare-event setting. For active residents, priority rank and percentile are more operationally useful than the absolute probability alone.","[""pr concern rate: above typical for similar residents and associated with stronger readiness"", ""edu progress trend: below typical for similar residents and associated with stronger readiness"", ""case category: Surrendered \u2014 compared with typical reference cases, associated with stronger readiness"", ""pr mean duration: above typical for similar residents and associated with stronger readiness"", ""pr emotional improvement trend: above typical for similar residents and associated with stronger readiness""]","[""hv total visits: below typical for similar residents and associated with weaker readiness"", ""days since enrollment: above typical for similar residents and associated with weaker readiness"", ""pr sessions total: below typical for similar residents and associated with weaker readiness"", ""pr sessions last 30d: below typical for similar residents and associated with weaker readiness"", ""hw mean general health: below typical for similar residents and associated with weaker readiness""]",Directions follow the explanatory logistic model (associations on training data); the score is from the predictive model. Decision support only.
